지역,연도,발생량,재활용품,음식물,소각,매립,1인당 배출량,주민수
양천구,2018,297.7,95.1,104.9,84.2,13.5,0.64,468145
강서구,2018,480,173.3,163.1,115.7,27.9,0.8,603611
구로구,2018,319.4,76,96.8,119.6,27,0.73,438486
금천구,2018,248.8,116.2,59,1.3,72.3,0.98,254021
영등포구,2018,335.3,82.3,134.3,106.4,12.3,0.83,403600
동작구,2018,290.6,109,91.1,70.3,20.2,0.71,409385
관악구,2018,436.8,205.6,110.3,36.7,84.2,0.84,520040
서초구,2018,563.7,215.6,175.7,92.3,80.1,1.29,438163
강남구,2018,677.1,176,269.5,204.7,26.9,1.24,547453
송파구,2018,611.8,199.2,217.7,123.3,71.6,0.91,673507
강동구,2018,370.1,158.6,109.9,61.3,40.3,0.86,431920
계,2019,9847.4,3817,2806.1,2245.8,978.5,26.8,10010983
종로구,2019,339.9,124.6,95.1,79.9,40.3,2.1,161869
중구,2019,413.7,136.5,87.8,133.9,55.5,3.03,136488
용산구,2019,305.2,133.8,70.8,69.3,31.3,1.24,245185
성동구,2019,303.1,138.8,74.6,62.6,27.1,0.98,308979
광진구,2019,333.9,159.1,94.5,59.1,21.2,0.91,366972
동대문구,2019,411.2,205.8,92.8,93.1,19.5,1.13,363023
중랑구,2019,330.5,186.4,37.1,89.3,17.7,0.82,402024
성북구,2019,371.3,181.3,95.1,86.1,8.8,0.82,454744
강북구,2019,251.2,101.7,73.6,69,6.9,0.79,317695
도봉구,2019,345.1,182.7,80.7,76,5.7,1.03,335631
노원구,2019,317.3,83.8,125,104.6,3.9,0.59,537303
은평구,2019,369,151.2,74.1,49.2,94.5,0.76,484546
서대문구,2019,240.1,77,70,63.9,29.2,0.74,323171
마포구,2019,477.5,162.7,123.4,147.3,44.1,1.24,385925
양천구,2019,340.8,104,117.5,101.3,18,0.74,462285
강서구,2019,599.4,288,160.2,115.5,35.7,1,598273
구로구,2019,326.5,74.2,96.9,124.5,30.9,0.74,439371
금천구,2019,286.7,135.5,62.5,0.1,88.6,1.14,251820
영등포구,2019,417.3,114.7,155.4,99.6,47.6,1.04,400986
동작구,2019,315.4,131.9,93,67.2,23.3,0.77,408912
관악구,2019,434.7,222,91.3,37.7,83.7,0.84,517334
서초구,2019,498.3,114.3,179.2,129.4,75.4,1.15,435107
강남구,2019,591.2,226.6,123.2,197.4,44,1.07,550209
송파구,2019,808.2,193.9,414.7,114.9,84.7,1.18,682741
강동구,2019,419.9,186.5,117.6,74.9,40.9,0.95,440390
계,2020,9673.4,3896.3,2539.3,2288.7,948.6,26.12,9911088
종로구,2020,264.2,78.8,76,83.4,25.9,1.66,158996
중구,2020,357.5,117.9,80.1,128.4,31.1,2.66,134635
용산구,2020,301.2,133.8,63.7,77.6,26.2,1.23,244645
성동구,2020,301.2,133.9,78.2,62.4,26.6,1,300505
광진구,2020,343.1,152,86.8,82.9,21.4,0.95,360109
